ORGANISM_CODE,ORGANISM_NAME,ORGANISM_TYPE,ORGANISM_TYPE_DESCRIPTION,IS_COMMON,EXTRACTION_DATE,DATA_SOURCE
IVA,Influenza A virus,v,Unknown,Yes,2025-05-26,WHONET Organisms.txt
IVB,Influenza B virus,v,Unknown,Yes,2025-05-26,WHONET Organisms.txt
IVC,Influenza C virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
IXO,Ixodes sp.,i,Unknown,No,2025-05-26,WHONET Organisms.txt
JAV,Salmonella Paratyphi B var. Java,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
JAV,Salmonella Java (Salmonella Paratyphi B),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
JCV,JC virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
JIG,Johnsonella ignava,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
JOH,Johnsonella sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
K99,Escherichia coli K99,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KAS,CDC Enteric Group 8,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KAS,Kluyvera ascorbata,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KCR,Kluyvera cryocrescens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KDE,CDC TM-1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KDE,Kingella denitrificans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KII,Candida blankii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
KIN,Kingella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KKI,CDC M-1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KKI,Kingella kingae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KKR,Micrococcus kristinae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KKR,Kocuria kristinae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KL-,Klebsiella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KLA,Kluyveromyces lactis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
KLU,Kluyvera sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KLV,Kluyveromyces sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
KMA,Kluyveromyces marxianus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
KMA,Kluyveromyces fragilis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
KOC,Kocuria sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KOL,Kingella oralis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KOR,Klebsiella ornithinolytica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KOR,Klebsiella Enteric Group 47,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KOR,Raoultella ornithinolytica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KOX,Klebsiella oxytoca,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KOZ,Klebsiella ozaenae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KOZ,Klebsiella pneumoniae ss. ozaenae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KPL,Klebsiella planticola (trevisanii),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KPL,Klebsiella trevisanii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KPL,Raoultella planticola,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KPN,Klebsiella pneumoniae,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
KPN,Klebsiella pneumoniae ss. pneumoniae,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
KQP,Klebsiella quasipneumoniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KRN,Klebsiella rhinoscleromatis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KRN,Klebsiella pneumoniae ss. rhinoscleromatis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KRO,Micrococcus roseus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KRO,Kocuria rosea,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KTE,Klebsiella terrigena,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KTE,Raoultella terrigena,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
KUR,Kurthia sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KUV,Kukoppevirus???,v,Unknown,No,2025-05-26,WHONET Organisms.txt
KVA,Kocuria varians,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KVA,Micrococcus varians,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
KVI,Klebsiella variicola,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAA,Legionella anisa,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAC,Lactobacillus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LAD,Leclercia adecarboxylata,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAD,Escherichia adecarboxylata,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAD,CDC Enteric Group 41,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAH,Lactobacillus rhamnosus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LAI,Lawsonia intracellularis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAM,Lactobacillus amylovorus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LAN,Listonella anguillarum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAN,Listonella anguillarum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAP,Lactobacillus acidophilus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LAR,Salmonella Larochelle,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAS,Lasiodiplodia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LAT,Lactococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LAU,Legionella interrogans serovar autumnalis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LAW,Lawsonia sp.,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LBA,Legionella interrogans serovar ballum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LBI,Legionella birminghamensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LBN,Legionella brunensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LBO,Legionella bozemanii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LBO,Fluoribacter bozemanae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LBP,Leptospira borgpetersenii,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LBR,Leishmania braziliensis,w,Other,No,2025-05-26,WHONET Organisms.txt
LBT,Legionella interrogans serovar bataviae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LBU,Leptotrichia buccalis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LBV,Lactobacillus brevis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LCA,Eggerthia catenaformis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LCA,Lactobacillus catenaformis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LCC,Legionella interrogans serovar canicola,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LCE,Lactobacillus cellobiosus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LCH,Legionella cherrii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LCI,Leuconostoc citreum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LCN,Legionella cincinnatiensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LCP,Lactobacillus crispatus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LCR,Leuconostoc cremoris,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LCR,Leuconostoc mesenteroides ss. cremoris,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LCS,Lactobacillus casei,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LDE,Leuconostoc mesenteroides ss. dextranicum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LDE,Leuconostoc dextranicum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LDO,Leishmania donovani,w,Other,No,2025-05-26,WHONET Organisms.txt
LDU,Legionella dumoffii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LDU,Fluoribacter dumoffii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LEA,Leptospira interrogans serovar Bratislava,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LEB,Leptospira interrogans serovar Ballum,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LEC,Leclercia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LEF,Leifsonia sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LEG,Legionella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LEH,Leptospira interrogans serovar Hardjo,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LEI,Leishmania sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
LEM,Leminorella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LEN,Legionella pneumophila ss. pneumophila,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LEN,Legionella pneumophila,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LEP,Leptotrichia sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LER,Legionella erythra,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LES,Leptospira sp.,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LET,Lecythophora sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LEU,Leuconostoc sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LEY,Leptospira interrogans serovar Grippotyphosa,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LFE,Lactobacillus fermentum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LFR,Legionella pneumophila ss. fraseri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGA,Lactococcus garvieae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LGE,Legionella geestiana,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGO,Legionella gormanii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGO,Fluoribacter gormanii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGP,Legionella interrogans serovar grippotyphosa,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGR,CDC Enteric Group 57,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGR,Leminorella grimontii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LGS,Lactobacillus gasseri,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LGY,Listeria grayi,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LGY,Listeria murrayi,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LHA,Legionella hackeliae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LHO,Lecythophora hoffmannii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LHO,Coniochaeta hoffmannii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LIC,Legionella interrogans serovar icterohaemorrhagiae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LID,Leptospira inadai,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LIN,Leptospira interrogans,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LIO,Listeria innocua,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LIR,Legionella israelensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LIS,Listeria sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LIT,Listonella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LIV,Listeria ivanovii,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LJA,Legionella jamestowniensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LJE,Lactobacillus jensenii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LJO,Lactobacillus johnsonii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LJR,Legionella jordanis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LKI,Leptospira kirschneri,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LLA,Lactococcus lactis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LLA,Lactococcus lactis ss. lactis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LLA,Streptococcus lactis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LLB,Loboa loboi,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LLC,Leuconostoc lactis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LLG,Legionella lansingensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LLN,Legionella londiniensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LLO,Legionella longbeachae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LMA,Tatlockia maceachernii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LMA,Legionella maceachernii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LMC,Legionella micdadei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LMC,Tatlockia micdadei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LME,Leishmania amazonensis,w,Other,No,2025-05-26,WHONET Organisms.txt
LME,Leishmania mexicana,w,Other,No,2025-05-26,WHONET Organisms.txt
LMI,Lactobacillus minutus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LMI,Atopobium minutum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LMO,Listeria monocytogenes,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
LMR,Legionella moravica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LMS,Leuconostoc mesenteroides,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LMS,Leuconostoc mesenteroides ss. mesenteroides,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LMU,Coniochaeta mutabilis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LMU,Lecythophora mutabilis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LNA,Legionella nautarum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LNO,Leptospira noguchii,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LOA,Loa loa,w,Other,No,2025-05-26,WHONET Organisms.txt
LOB,Loboa sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LOK,Legionella oakridgensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LOM,Salmonella Lomita,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LOR,Lactobacillus oris,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LPA,Legionella parisiensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LPC,Legionella pneumophila ss. pascullei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LPE,Listonella pelagia,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LPE,Vibrio pelagius,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LPI,Leptospira interrogans serovar Icterohaemorrhagiae,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LPJ,Leptospira interrogans serovar Sejroe,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LPL,Lactobacillus plantarum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LPP,Leptospira interrogans serovar Pomona,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LPR,Leishmania peruviana,w,Other,No,2025-05-26,WHONET Organisms.txt
LPS,Leuconostoc pseudomesenteroides,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LPT,Leptospira interrogans serovar Tarassovi,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LQI,Legionella quinlivanii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LQU,Legionella quateirensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LRC,Leptospira interrogans serovar Canicola,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LRE,Lactobacillus reuteri,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LRI,Leminorella richardii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LRU,Legionella rubrilucens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LSA,Lactobacillus salivarius,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LSA,Lactobacillus salivarius ss. salivarius,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LSC,Legionella santicrucis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LSE,Listeria seeligeri,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LSH,Legionella sainthelensi,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LSK,Legionella shakespearei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LSP,Legionella spiritensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LSR,Leptospira santarosai,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LST,Legionella steigerwaltii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LTH,Lasiodiplodia theobromae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
LTR,Leishmania tropica,w,Other,No,2025-05-26,WHONET Organisms.txt
LTU,Legionella tucsonensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LUL,Olsenella uli,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LUL,Lactobacillus uli,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LUT,Streptococcus lutetiensis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LVA,Lactobacillus vaginalis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
LWA,Legionella wadsworthii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LWE,Leptospira weilii,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
LWL,Listeria welshimeri,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
LWO,Legionella worsleiensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
LYS,Lysinibacillus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MAA,Mycobacterium austroafricanum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAB,Mycobacterium abscessus,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAB,Mycobacterium chelonae ss. abscessus,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAC,Mycobacterium avium complex,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAD,Madurella sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MAE,Mycobacterium alvei,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAF,Mycobacterium africanum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAG,Mycobacterium agri,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAH,Mannheimia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
MAI,Mycobacterium avium-intracellulare complex,m,Mycobacteria,Yes,2025-05-26,WHONET Organisms.txt
MAK,Mycobacterium aichiense,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAL,Malassezia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MAN,Mansonella sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
MAO,Microsporum audouinii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MAP,"Streptococcus, microaerophilic",+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MAR,Malbranchea sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MAS,Mycobacterium asiaticum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAT,CDC M-3,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
MAT,Moraxella atlantae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
MAU,Mycobacterium aurum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MAV,Mycobacterium avium,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MBA,Microbacterium arborescens,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MBB,Mycoplasma bovis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MBO,Mycobacterium bovis,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MBR,Mycobacterium brumae,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MBU,Mycoplasma buccale,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MBV,Moraxella bovis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
MCA,Microsporum canis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MCA,Microsporum canis var. canis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MCB,Mycobacterium chubuense,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCC,Macrococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MCE,Mycobacterium celatum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCH,Mycobacterium chelonae,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCH,Mycobacterium chelonae ss. chelonae,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCI,Mycobacterium intracellulare ss. chimaera,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCI,Mycobacterium chimaera,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCN,Mycobacterium confluentis,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCO,Microsporum cookei,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MCO,Paraphyton cookei,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MCP,Mycoplasma capricolum ss. capripneumoniae,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MCP,Mycoplasma capripneumoniae,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MCR,Mycoplasma capricolum,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MCR,Mycoplasma capricolum ss. capricolum,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MCS,Mycoplasma suis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MCT,Mycobacterium chitae,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MCU,Mobiluncus curtisii ss. curtisii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MCU,Mobiluncus curtisii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MCV,Molluscum contagiosum virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
MDE,Mycobacterium diernhoferi,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MDI,Microsporum distortum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MDU,Mycobacterium duvalii,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MEA,Metagonimus sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
MEB,Methylobacterium sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
MEG,Megamonas sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MEL,Megasphaera elsdenii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MES,Megasphaera sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MET,Methanobacterium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MEV,Measles virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
MEX,Methylobacterium extorquens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
MEY,Meyerozyma sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MFA,Mycobacterium farcinogenes,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MFC,Mycoplasma faucium,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MFE,Mycoplasma fermentans,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MFL,Mycobacterium flavescens,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MFO,Mycobacterium fortuitum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MFR,Microsporum ferrugineum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MFU,Malassezia furfur,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MFV,Microsporum fulvum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MFX,Mycobacterium fallax,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MGA,Mycobacterium gastri,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MGC,Mycoplasma agalactiae,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MGD,Mycobacterium gadium,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MGE,Mycobacterium genavense,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MGI,Mycobacterium gilvum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MGL,Microsporum gallinae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MGN,Mycoplasma genitalium,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MGO,Mycobacterium gordonae,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MGP,Mycoplasmoides gallisepticum,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MGS,Mycoplasma gallisepticum,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MGY,Microsporum gypseum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MHA,Mycobacterium haemophilum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MHC,Haemobartonella canis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MHC,Mycoplasma haemocanis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MHF,Mycoplasma haemofelis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MHF,Haemobartonella felis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MHL,Mobiluncus curtisii ss. holmesii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MHO,Mycoplasma hominis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
MHY,Megamonas hypermegale,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MHY,Megamonas hypermegas,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
MIB,Microbacterium sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MIB,CDC Coryneform Group A-4,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MIB,CDC Coryneform Group A-5,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MIC,Micrococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MIF,Microfilaria sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
MIJ,Mycobacterium interjectum,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MIM,Microbacterium imperiale,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MIN,Mycobacterium intracellulare,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
MIO,Candida palmioleophila,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MIP,Micropolyspora sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
MIS,Microsporum sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
MIT,Mitsuokella sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
